model,split,MAE,RMSE,R2,n
baseline_current_price,val,2.617627,9.384281,0.976181,12493
baseline_current_price,test,2.827132,13.504481,0.964262,12227
baseline_price_lag1,val,2.810494,8.670082,0.979668,12493
baseline_price_lag1,test,3.195743,13.679835,0.963328,12227
baseline_price_ma7,val,2.569137,7.409953,0.985149,12493
baseline_price_ma7,test,3.122109,12.534997,0.969209,12227
ridge_raw_price,val,2.333578,6.992997,0.986773,12493
ridge_raw_price,test,2.729454,12.071382,0.971444,12227
random_forest_raw_price,val,2.261062,6.955811,0.986913,12493
random_forest_raw_price,test,2.640783,11.827727,0.972585,12227
