model,split,MAE,RMSE,R2,n
baseline_zero_return,train,0.060562,0.090003,-0.002269,69000
baseline_zero_return,val,0.05642,0.091076,-0.000361,10359
baseline_zero_return,test,0.063713,0.094825,-0.003718,9358
baseline_lag1_return,train,0.073794,0.112685,-0.571081,69000
baseline_lag1_return,val,0.071021,0.113734,-0.560018,10359
baseline_lag1_return,test,0.077626,0.116054,-0.503434,9358
baseline_sum7_return,train,0.09055,0.131689,-1.145681,69000
baseline_sum7_return,val,0.086802,0.129572,-1.024767,10359
baseline_sum7_return,test,0.097454,0.141331,-1.229665,9358
ridge,train,0.060203,0.089596,0.006788,69000
ridge,val,0.056306,0.091194,-0.002963,10359
ridge,test,0.063426,0.094513,0.002875,9358
random_forest,train,0.046254,0.072375,0.3519,69000
random_forest,val,0.056586,0.091283,-0.004923,10359
random_forest,test,0.063937,0.094931,-0.005962,9358
