hash_name,date,median_price,volume,currency
AK-47 | Legion of Anubis (Field-Tested),2026-01-17,42.169,200,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-18,41.1125,185,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-19,41.552,166,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-20,41.1995,148,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-21,42.177,158,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-22,41.5025,168,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-23,42.988,217,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-24,40.6785,194,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-25,41.569500000000005,182,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-26,41.568,170,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-27,42.0465,163,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-28,41.882999999999996,167,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-29,42.153,161,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-30,43.448499999999996,198,3
AK-47 | Legion of Anubis (Field-Tested),2026-01-31,41.718999999999994,181,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-01,43.0675,182,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-02,43.071,137,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-03,42.159499999999994,148,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-04,43.043,147,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-05,41.983,167,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-06,42.03,139,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-07,43.46,169,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-08,42.727000000000004,198,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-09,41.908,141,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-10,41.858000000000004,126,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-11,42.1995,139,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-12,41.997,161,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-13,43.113,185,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-14,42.983000000000004,157,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-15,42.659,186,3
AK-47 | Legion of Anubis (Field-Tested),2026-02-16,43.09,90,3
