feature,coefficient
num__vol_lag1,0.002245045865020143
num__vol_lag2,0.001588665760193558
num__is_stattrak,0.0008908069674089049
cat__wear_Factory New,0.00074993329952501
cat__weapon_M4A1-S,0.0006341287268336625
cat__weapon_MAC-10,0.0005311645017060706
cat__wear_Well-Worn,0.0005115754745501286
cat__weapon_SSG 08,0.00045514557368841546
cat__weapon_USP-S,0.0004305266740478013
num__logret_lag2,0.0003747683494288852
cat__weapon_AWP,0.0003160689540271099
cat__weapon_Desert Eagle,0.0002645408443548423
cat__rarity_Classified,0.0002257341297785651
cat__weapon_M4A4,0.00013987410866694915
cat__weapon_P90,0.0001293816890694726
cat__wear_Minimal Wear,3.8260811061915386e-05
cat__weapon_AK-47,2.939841803548416e-07
cat__weapon_AUG,-0.0001603917437008153
cat__rarity_Covert,-0.00022573412979110758
num__price_deviation_ma7,-0.00023186387904784324
num__logret_ma7,-0.00024491779031896315
cat__weapon_FAMAS,-0.0002640367874536719
cat__wear_Battle-Scarred,-0.0003231008109540643
cat__weapon_Five-SeveN,-0.000349602715321918
num__logret_lag1,-0.00041264402660190925
cat__weapon_UMP-45,-0.0004624616844209674
cat__weapon_P250,-0.0008139448381724991
cat__weapon_Glock-18,-0.0008506872874368367
cat__wear_Field-Tested,-0.0009766687740097113
num__vol_ma7,-0.003357472147877815
