feature,mean_abs_shap
num__vol_ma7,0.0019178754136337495
num__vol_lag1,0.0013181974492635668
num__vol_lag2,0.0009356082762517621
cat__is_stattrak_True,0.0004081136852507207
cat__is_stattrak_False,0.0004081136852477708
cat__wear_Field-Tested,0.0003743150725428932
num__logret_lag1,0.0003282599655077051
num__logret_ma7,0.0001815004838933204
cat__wear_Well-Worn,0.00017708907909559808
num__logret_lag2,0.00015186190681006962
cat__wear_Factory New,0.00012469402999122747
cat__wear_Battle-Scarred,0.00011809380125011997
cat__rarity_Covert,0.00010813132429856352
cat__rarity_Classified,0.00010813132429640638
cat__weapon_Glock-18,0.00010060128543975264
cat__weapon_P250,7.525609319544024e-05
cat__weapon_M4A1-S,6.932869869527892e-05
cat__weapon_UMP-45,6.339472380960167e-05
cat__weapon_AWP,5.360742456320026e-05
cat__weapon_MAC-10,4.950796784519197e-05
cat__weapon_USP-S,4.895484232949836e-05
cat__weapon_Five-SeveN,4.030989317379423e-05
cat__weapon_SSG 08,3.843430352115829e-05
cat__weapon_FAMAS,3.0426022233468928e-05
cat__weapon_AUG,2.880811698913698e-05
cat__weapon_M4A4,2.6988232983776575e-05
cat__weapon_Desert Eagle,2.205385998235634e-05
cat__wear_Minimal Wear,1.2221060396286922e-05
cat__weapon_P90,8.943634162080774e-06
cat__weapon_AK-47,1.2200382175910452e-07
